row,plot,trt,tree,trunk.class,spur.prune,spray,branch,spur,fruit,limb.circ.cm
1,16,red,147,2,8,yes,4,12,0,4.5
1,16,red,147,2,8,yes,5,1,1,5.1
1,16,red,147,2,8,yes,5,2,3,5.1
1,16,red,147,2,8,yes,5,3,1,5.1
1,16,red,147,2,8,yes,5,4,1,5.1
1,16,red,147,2,8,yes,5,5,0,5.1
1,16,red,147,2,8,yes,5,6,0,5.1
1,16,red,147,2,8,yes,5,7,0,5.1
1,16,red,147,2,8,yes,5,8,0,5.1
1,16,red,147,2,8,yes,5,9,0,5.1
1,16,red,147,2,8,yes,5,10,0,5.1
1,16,red,147,2,8,yes,5,11,0,5.1
1,16,red,147,2,8,yes,5,12,0,5.1
2,17,red,5,3,8,yes,1,1,1,2.3
2,17,red,5,3,8,yes,1,2,0,2.3
2,17,red,5,3,8,yes,1,3,0,2.3
2,17,red,5,3,8,yes,1,4,0,2.3
2,17,red,5,3,8,yes,1,5,0,2.3
2,17,red,5,3,8,yes,1,6,0,2.3
2,17,red,5,3,8,yes,1,7,0,2.3
2,17,red,5,3,8,yes,1,8,0,2.3
2,17,red,5,3,8,yes,1,9,0,2.3
2,17,red,5,3,8,yes,1,10,0,2.3
2,17,red,5,3,8,yes,1,11,0,2.3
2,17,red,5,3,8,yes,1,12,0,2.3
2,17,red,5,3,8,yes,2,1,1,4
2,17,red,5,3,8,yes,2,2,1,4
2,17,red,5,3,8,yes,2,3,1,4
2,17,red,5,3,8,yes,2,4,0,4
2,17,red,5,3,8,yes,2,5,0,4
2,17,red,5,3,8,yes,2,6,0,4
2,17,red,5,3,8,yes,2,7,0,4
2,17,red,5,3,8,yes,2,8,0,4
2,17,red,5,3,8,yes,2,9,0,4
2,17,red,5,3,8,yes,2,10,0,4
2,17,red,5,3,8,yes,2,11,0,4
2,17,red,5,3,8,yes,2,12,0,4
2,17,red,5,3,8,yes,3,1,2,3.9
2,17,red,5,3,8,yes,3,2,1,3.9
2,17,red,5,3,8,yes,3,3,2,3.9
2,17,red,5,3,8,yes,3,4,1,3.9
2,17,red,5,3,8,yes,3,5,2,3.9
2,17,red,5,3,8,yes,3,6,2,3.9
2,17,red,5,3,8,yes,3,7,0,3.9
2,17,red,5,3,8,yes,3,8,0,3.9
2,17,red,5,3,8,yes,3,9,0,3.9
2,17,red,5,3,8,yes,3,10,0,3.9
2,17,red,5,3,8,yes,3,11,0,3.9
2,17,red,5,3,8,yes,3,12,0,3.9
2,17,red,5,3,8,yes,4,1,2,4
2,17,red,5,3,8,yes,4,2,1,4
2,17,red,5,3,8,yes,4,3,1,4
2,17,red,5,3,8,yes,4,4,1,4
2,17,red,5,3,8,yes,4,5,2,4
2,17,red,5,3,8,yes,4,6,2,4
2,17,red,5,3,8,yes,4,7,1,4
2,17,red,5,3,8,yes,4,8,0,4
2,17,red,5,3,8,yes,4,9,0,4
2,17,red,5,3,8,yes,4,10,0,4
2,17,red,5,3,8,yes,4,11,0,4
2,17,red,5,3,8,yes,4,12,0,4
2,17,red,5,3,8,yes,5,1,2,3.9
2,17,red,5,3,8,yes,5,2,1,3.9
2,17,red,5,3,8,yes,5,3,1,3.9
2,17,red,5,3,8,yes,5,4,0,3.9
2,17,red,5,3,8,yes,5,5,0,3.9
2,17,red,5,3,8,yes,5,6,0,3.9
2,17,red,5,3,8,yes,5,7,0,3.9
2,17,red,5,3,8,yes,5,8,0,3.9
2,17,red,5,3,8,yes,5,9,0,3.9
2,17,red,5,3,8,yes,5,10,0,3.9
2,17,red,5,3,8,yes,5,11,0,3.9
2,17,red,5,3,8,yes,5,12,0,3.9
2,18,orange,18,2,2,yes,1,1,1,3.7
2,18,orange,18,2,2,yes,1,2,1,3.7
2,18,orange,18,2,2,yes,1,3,0,3.7
2,18,orange,18,2,2,yes,2,1,0,2.6
2,18,orange,18,2,2,yes,2,2,0,2.6
2,18,orange,18,2,2,yes,2,3,0,2.6
2,18,orange,18,2,2,yes,3,1,1,3.1
2,18,orange,18,2,2,yes,3,2,1,3.1
2,18,orange,18,2,2,yes,3,3,0,3.1
2,18,orange,18,2,2,yes,4,1,4,4
2,18,orange,18,2,2,yes,4,2,0,4
2,18,orange,18,2,2,yes,4,3,0,4
2,18,orange,18,2,2,yes,5,1,2,3.4
2,18,orange,18,2,2,yes,5,2,1,3.4
2,18,orange,18,2,2,yes,5,3,1,3.4
2,19,blue,21,3,5,yes,1,1,1,4
2,19,blue,21,3,5,yes,1,2,1,4
2,19,blue,21,3,5,yes,1,3,1,4
2,19,blue,21,3,5,yes,1,4,1,4
2,19,blue,21,3,5,yes,1,5,1,4
2,19,blue,21,3,5,yes,1,6,0,4
2,19,blue,21,3,5,yes,1,7,0,4
2,19,blue,21,3,5,yes,1,8,0,4
2,19,blue,21,3,5,yes,2,1,1,3.2
2,19,blue,21,3,5,yes,2,2,1,3.2
2,19,blue,21,3,5,yes,2,3,0,3.2
2,19,blue,21,3,5,yes,2,4,0,3.2
2,19,blue,21,3,5,yes,2,5,0,3.2
2,19,blue,21,3,5,yes,2,6,0,3.2
2,19,blue,21,3,5,yes,2,7,0,3.2
2,19,blue,21,3,5,yes,2,8,0,3.2
2,19,blue,21,3,5,yes,3,1,2,4.4
2,19,blue,21,3,5,yes,3,2,2,4.4
2,19,blue,21,3,5,yes,3,3,1,4.4
2,19,blue,21,3,5,yes,3,4,3,4.4
2,19,blue,21,3,5,yes,3,5,1,4.4
2,19,blue,21,3,5,yes,3,6,2,4.4
2,19,blue,21,3,5,yes,3,7,0,4.4
2,19,blue,21,3,5,yes,3,8,0,4.4
2,19,blue,21,3,5,yes,4,1,2,3.9
2,19,blue,21,3,5,yes,4,2,1,3.9
2,19,blue,21,3,5,yes,4,3,0,3.9
2,19,blue,21,3,5,yes,4,4,0,3.9
2,19,blue,21,3,5,yes,4,5,0,3.9
2,19,blue,21,3,5,yes,4,6,0,3.9
2,19,blue,21,3,5,yes,4,7,0,3.9
2,19,blue,21,3,5,yes,4,8,0,3.9
2,19,blue,21,3,5,yes,5,1,2,3.5
2,19,blue,21,3,5,yes,5,2,1,3.5
2,19,blue,21,3,5,yes,5,3,1,3.5
2,19,blue,21,3,5,yes,5,4,0,3.5
2,19,blue,21,3,5,yes,5,5,0,3.5
2,19,blue,21,3,5,yes,5,6,0,3.5
2,19,blue,21,3,5,yes,5,7,0,3.5
2,19,blue,21,3,5,yes,5,8,0,3.5
2,20,orange,24,4,2,yes,1,1,2,3.6
2,20,orange,24,4,2,yes,1,2,0,3.6
2,20,orange,24,4,2,yes,1,3,0,3.6
2,20,orange,24,4,2,yes,2,1,0,3.1
2,20,orange,24,4,2,yes,2,2,0,3.1
2,20,orange,24,4,2,yes,2,3,0,3.1
2,20,orange,24,4,2,yes,3,1,2,4.2
2,20,orange,24,4,2,yes,3,2,1,4.2
2,20,orange,24,4,2,yes,3,3,0,4.2
2,20,orange,24,4,2,yes,4,1,0,4
2,20,orange,24,4,2,yes,4,2,0,4
2,20,orange,24,4,2,yes,4,3,0,4
2,20,orange,24,4,2,yes,5,1,1,3.4
2,20,orange,24,4,2,yes,5,2,0,3.4
2,20,orange,24,4,2,yes,5,3,0,3.4
2,26,blue,73,2,5,yes,1,1,1,2.4
2,26,blue,73,2,5,yes,1,2,0,2.4
2,26,blue,73,2,5,yes,1,3,0,2.4
2,26,blue,73,2,5,yes,1,4,0,2.4
2,26,blue,73,2,5,yes,1,5,0,2.4
2,26,blue,73,2,5,yes,1,6,0,2.4
2,26,blue,73,2,5,yes,1,7,0,2.4
2,26,blue,73,2,5,yes,1,8,0,2.4
2,26,blue,73,2,5,yes,2,1,2,3
2,26,blue,73,2,5,yes,2,2,2,3
2,26,blue,73,2,5,yes,2,3,3,3
2,26,blue,73,2,5,yes,2,4,0,3
2,26,blue,73,2,5,yes,2,5,0,3
2,26,blue,73,2,5,yes,2,6,0,3
2,26,blue,73,2,5,yes,2,7,0,3
2,26,blue,73,2,5,yes,2,8,0,3
2,26,blue,73,2,5,yes,3,1,1,3.4
2,26,blue,73,2,5,yes,3,2,0,3.4
2,26,blue,73,2,5,yes,3,3,0,3.4
2,26,blue,73,2,5,yes,3,4,0,3.4
2,26,blue,73,2,5,yes,3,5,0,3.4
2,26,blue,73,2,5,yes,3,6,0,3.4
2,26,blue,73,2,5,yes,3,7,0,3.4
2,26,blue,73,2,5,yes,3,8,0,3.4
2,26,blue,73,2,5,yes,4,1,1,3.1
2,26,blue,73,2,5,yes,4,2,0,3.1
2,26,blue,73,2,5,yes,4,3,0,3.1
2,26,blue,73,2,5,yes,4,4,0,3.1
2,26,blue,73,2,5,yes,4,5,0,3.1
2,26,blue,73,2,5,yes,4,6,0,3.1
2,26,blue,73,2,5,yes,4,7,0,3.1
2,26,blue,73,2,5,yes,4,8,0,3.1
2,26,blue,73,2,5,yes,5,1,2,3.6
2,26,blue,73,2,5,yes,5,2,1,3.6
2,26,blue,73,2,5,yes,5,3,0,3.6
